Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,
Manchester City,38,27,5,6,83,32,+51,86,73.3,31.3,+42.0,+1.11,W L W L W,İlkay Gündoğan - 13,
Manchester Utd,38,21,11,6,73,44,+29,74,60.2,42.2,+18.0,+0.47,W L L D W,Bruno Fernandes - 18,
Liverpool,38,20,9,9,68,42,+26,69,72.6,45.4,+27.3,+0.72,W W W W W,Mohamed Salah - 22,
Chelsea,38,19,10,9,58,36,+22,67,64.0,32.8,+31.2,+0.82,W W L W L,Jorginho - 7,
Leicester City,38,20,6,12,68,50,+18,66,56.0,47.7,+8.3,+0.22,D L W L L,Jamie Vardy - 15,
West Ham,38,19,8,11,62,47,+15,65,54.0,48.3,+5.7,+0.15,W L D W W,Tomáš Souček Michail Antonio - 10,
Tottenham,38,18,8,12,68,45,+23,62,54.6,49.5,+5.0,+0.13,W L W L W,Harry Kane - 23,
Arsenal,38,18,7,13,55,39,+16,61,53.5,44.3,+9.2,+0.24,W W W W W,Alexandre Lacazette - 13,
Leeds United,38,18,5,15,62,54,+8,59,57.5,62.9,-5.4,-0.14,L W W W W,Patrick Bamford - 17,
Everton,38,17,8,13,47,48,-1,59,47.0,51.2,-4.1,-0.11,W D L W L,Dominic Calvert-Lewin - 16,
Aston Villa,38,16,7,15,55,46,+9,55,53.0,52.9,+0.2,0.00,L D L W W,Ollie Watkins - 14,
Newcastle Utd,38,12,9,17,46,62,-16,45,40.9,53.9,-13.1,-0.34,L W L W W,Callum Wilson - 12,
Wolves,38,12,9,17,36,52,-16,45,39.9,45.9,-6.0,-0.16,D W L L L,Rúben Neves Pedro Neto - 5,
Crystal Palace,38,12,8,18,41,66,-25,44,32.5,57.6,-25.1,-0.66,W L W L L,Wilfried Zaha - 11,
Southampton,38,12,7,19,47,68,-21,43,42.4,54.3,-12.0,-0.31,L W W L L,Danny Ings - 12,
Brighton,38,9,14,15,40,46,-6,41,51.6,37.7,+13.9,+0.37,W L D W L,Neal Maupay - 8,
Burnley,38,10,9,19,33,55,-22,39,39.6,57.8,-18.1,-0.48,L W L L L,Chris Wood - 12,
Fulham,38,5,13,20,27,53,-26,28,40.5,53.0,-12.5,-0.33,L L L D L,Bobby Reid - 5,
West Brom,38,5,11,22,35,76,-41,26,33.8,67.7,-34.0,-0.89,D L L L L,Matheus Pereira - 11,
Sheffield Utd,38,7,2,29,20,63,-43,23,31.5,62.0,-30.5,-0.80,L L W L W,David McGoldrick - 8,
